name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
TEORIA DA ACTIO LIBERA IN CAUSA,['DPE DIREITO PENAL'],"

NOTA
Teoria que soluciona os casos nos quais, embora considerado inimputável, o agente tem responsabilidade pelo fato. O exemplo clássico é o da embriaguez preordenada na qual a pessoa se embriaga exatamente para cometer o delito.
",EMBRIAGUEZ PREORDENADA,,['RESPONSABILIDADE PENAL OBJETIVA'],,,teor da acti lib in caus
TEORIA DO DOMÍNIO DO FATO,['DPE DIREITO PENAL'],,,TEORIA,"['AUTORIA DO CRIME', 'CONCURSO DE PESSOAS', 'DOMÍNIO FUNCIONAL DO FATO', 'TEORIA DO DOMÍNIO FUNCIONAL DO FATO']",,,teor do domini do fat
TEORIA DO JUÍZO APARENTE,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,TEORIA,"['COMPETÊNCIA APARENTE', 'JUÍZO APARENTEMENTE COMPETENTE']",,,teor do juiz aparent
TEORIA MONISTA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Teoria segundo a qual todos os indivíduos que concorrem para a prática do crime estão sujeitos às penas por ele cominadas. Também conhecida como Teoria Unitária.
",,,,TEORIA UNITÁRIA,,teor monist
TERCEIRA PESSOA,['DPE DIREITO PENAL'],,,,"['PECULATO-FURTO', 'ROUBO', 'VIGILÂNCIA DA VÍTIMA']",,,terc pesso
TERRITÓRIO ESTRANGEIRO,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,,territori estrang
PRINCÍPIO DO REPÚDIO AO TERRORISMO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
CF/1988: ""Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:
(...) VIII - repúdio ao terrorismo e ao racismo.
",,,['PRINCÍPIO DO REPÚDIO AO RACISMO'],,,principi do repudi ao terror
TERRORISMO,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,,"['CRIME ANTECEDENTE', 'CRIME HEDIONDO', 'CRIME INAFIANÇÁVEL', 'TERRORISTA']",,,terror
TERRORISTA,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,,['TERRORISMO'],,,terror
TERTIUM GENUS,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Terceiro elemento http://buenoecostanze.adv.br/index.php?option=com_glossary&func=view&Itemid=82&catid=40&term=Tertium+genus. Ex: na lição de Humberto Theodoro Jr., constitui uma nova face da jurisdição, um tertium genus que ""contém a um só tempo as funções do processo de conhecimento e de execução (pág. 360 - Curso de Direito Processual Civil, v. II. Rio de Janeiro: Forense, 1997).
",,,,,,tertium genu
TORTURA,['DPE DIREITO PENAL'],,,,"['AUT DEDERE AUT JUDICARE', 'CRIME HEDIONDO', 'CRIME INAFIANÇÁVEL', 'PRINCÍPIO DA NÃO DEVOLUÇÃO']",,,tort
EXPLORAÇÃO DE TRABALHO ESCRAVO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
CF/88 ""Art. 243. As propriedades rurais e urbanas de qualquer região do País onde forem localizadas culturas ilegais de plantas psicotrópicas ou a exploração de trabalho escravo na forma da lei serão expropriadas e destinadas à reforma agrária e a programas de habitação popular, sem qualquer indenização ao proprietário e sem prejuízo de outras sanções previstas em lei, observado, no que couber, o disposto no art. 5º. (Redação dada pela Emenda Constitucional nº 81, de 2014
",,,['TRABALHO ESCRAVO'],,,explor de trabalh escrav
TRABALHO ESCRAVO,['DPE DIREITO PENAL'],"

NOTA
Art. 149. Reduzir alguém a condição análoga à de escravo, quer 
submetendo-o a trabalhos forçados ou a jornada exaustiva, quer 
sujeitando-o a condições degradantes de trabalho, quer restringindo, por 
qualquer meio, sua locomoção em razão de dívida contraída com o 
empregador ou preposto.
(Decreto-lei 2.848/1940 - Código Penal).
",TRABALHO FORÇADO,TRABALHO,"['CONDIÇÃO DEGRADANTE DE TRABALHO', 'CRIME CONTRA A LIBERDADE PESSOAL', 'EXPLORAÇÃO DE TRABALHO ESCRAVO', 'JORNADA EXAUSTIVA', 'REDUÇÃO À CONDIÇÃO ANÁLOGA À DE ESCRAVO']",,,trabalh escrav
TRABALHO EXTERNO,['DPE DIREITO PENAL'],,,TRABALHO,['REGIME SEMIABERTO'],,,trabalh extern
TRABALHO FORÇADO,['DPE DIREITO PENAL'],"

NOTA
Art. 149. Reduzir alguém a condição análoga à de escravo, quer 
submetendo-o a trabalhos forçados ou a jornada exaustiva, quer 
sujeitando-o a condições degradantes de trabalho, quer restringindo, por 
qualquer meio, sua locomoção em razão de dívida contraída com o 
empregador ou preposto.
(Decreto-lei 2.848/1940 - Código Penal).
",,TRABALHO ESCRAVO,"['CONDIÇÃO DEGRADANTE DE TRABALHO', 'JORNADA EXAUSTIVA']",,,trabalh forc
TRÁFICO,['DPE DIREITO PENAL'],,TRÁFICO DE DROGAS,,['TRAFICANTE'],,,traf
TRÁFICO DE DROGAS,['DPE DIREITO PENAL'],"

NOTA
Usar para os casos regidos pela Lei 11.343/2006. Para os casos regidos pela Lei 6.368/1976, usar o descritor TRÁFICO DE ENTORPECENTES.
",TRÁFICO INTERESTADUAL DE DROGAS,TRÁFICO,"['ASSOCIAÇÃO PARA O TRÁFICO', 'BALANÇA DE PRECISÃO', 'CLORETO DE ETILA', 'COCAÍNA', 'CRIME ANTECEDENTE', 'DROGA', 'GRAU DE ENVOLVIMENTO', 'LEI DE TÓXICOS', 'MACONHA', 'MULA', 'POSSE DE ENTORPECENTES', 'PRINCÍPIO DO NON OLET', 'PSICOTRÓPICO', 'SUBSTÂNCIA TÓXICA', 'TRAFICANTE', 'TRÁFICO DE DROGAS PRIVILEGIADO', 'TRÁFICO DE ENTORPECENTES', 'VALOR ECONÔMICO', 'VEDAÇÃO ABSTRATA À CONCESSÃO DE LIBERDADE PROVISÓRIA', 'VICIADO']",,,traf de drog
TRÁFICO DE DROGAS MINORADO,['DPE DIREITO PENAL'],,,,,,TRÁFICO DE DROGAS PRIVILEGIADO,traf de drog minor
TRÁFICO DE DROGAS PRIVILEGIADO,['DPE DIREITO PENAL'],"

NOTA
Como tem sido chamada a hipótese de incidência da causa especial de diminuição da pena prevista no §4 do artigo 33 da Lei de Drogas ao crime de tráfico de drogas
",,TRÁFICO,"['CAUSA DE DIMINUIÇÃO DE PENA', 'CRIME HEDIONDO', 'DROGA', 'PEQUENO TRAFICANTE', 'TIPO PENAL PRIVILEGIADO', 'TRÁFICO DE DROGAS']",TRÁFICO DE DROGAS MINORADO,,traf de drog privilegi
TRÁFICO DE ENTORPECENTES,['DPE DIREITO PENAL'],"

NOTA
Usar para os casos regidos pela Lei 6.368/1976. Para os casos regidos pela Lei 11.343/2006, usar o descritor TRÁFICO DE DROGAS.
",,TRÁFICO,"['ASSOCIAÇÃO PARA O TRÁFICO', 'DROGA', 'SUBSTÂNCIA ENTORPECENTE', 'TRÁFICO DE DROGAS']",,,traf de entorpec
TRÁFICO DE ENTORPECENTES PRIVILEGIADO,['DPE DIREITO PENAL'],,,,,,TRÁFICO DE DROGAS PRIVILEGIADO,traf de entorpec privilegi
TRÁFICO DE INFLUÊNCIA,['DPE DIREITO PENAL'],,,CRIME PRATICADO POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL,['VANTAGEM INDEVIDA'],,,traf de influ
TRÁFICO DE RECÉM-NASCIDO,['DPE DIREITO PENAL'],,,TRÁFICO,"['SEQUESTRO', 'TRAFICANTE', 'TRÁFICO INTERNACIONAL DE PESSOAS', 'TRÁFICO INTERNO DE PESSOAS']",,,traf de recem-nasc
TRÁFICO INTERESTADUAL DE DROGAS,['DPE DIREITO PENAL'],,,TRÁFICO DE DROGAS,,,,traf interestad de drog
TRÁFICO INTERNACIONAL,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,TRÁFICO INTERNACIONAL DE ARMA DE FOGO,TRÁFICO,['TRAFICANTE'],,,traf internac
TRÁFICO INTERNACIONAL DE DROGAS,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,,TRÁFICO DE DROGAS,"['COMPETÊNCIA INTERNACIONAL', 'DROGA', 'TRAFICANTE', 'TRÁFICO INTERNO DE DROGAS']",,,traf internac de drog
TRÁFICO INTERNACIONAL DE ÓRGÃOS,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,,TRÁFICO INTERNACIONAL,"['ÓRGÃO HUMANO', 'TRAFICANTE']",,,traf internac de org
TRÁFICO INTERNACIONAL DE PESSOAS,"['DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']",,,LENOCÍNIO E TRÁFICO DE PESSOAS,"['TRAFICANTE', 'TRÁFICO DE MENOR', 'TRÁFICO DE MULHERES', 'TRÁFICO DE RECÉM-NASCIDO']",,,traf internac de pesso
TRÁFICO INTERNO DE DROGAS,['DPE DIREITO PENAL'],,,TRÁFICO DE DROGAS,"['TRAFICANTE', 'TRÁFICO INTERNACIONAL DE DROGAS']",,,traf intern de drog
TRÁFICO INTERNO DE PESSOAS,['DPE DIREITO PENAL'],,,LENOCÍNIO E TRÁFICO DE PESSOAS,"['TRAFICANTE', 'TRÁFICO DE MENOR', 'TRÁFICO DE MULHERES', 'TRÁFICO DE RECÉM-NASCIDO']",,,traf intern de pesso
"TRÁFICO, POSSE OU USO DE ENTORPECENTE OU SUBSTÂNCIA DE EFEITO SIMILAR",['DMI DIREITO MILITAR'],"

NOTA
Art. 290. Receber, preparar, produzir, vender, fornecer, 
ainda que gratuitamente, ter em depósito, transportar, trazer 
consigo, ainda que para uso próprio, guardar, ministrar ou 
entregar de qualquer forma a consumo substância 
entorpecente, ou que determine dependência física ou 
psíquica, em lugar sujeito à administração militar, sem 
autorização ou em desacordo com determinação legal ou 
regulamentar: 
Pena - reclusão, até 5 (cinco) anos. 
(Decreto-lei 1.001/1969 - Código Penal Militar).
",,CRIME MILITAR,,,,"trafico, poss ou uso de entorpec ou subst de efeit simil"
TRÁFICO PRIVILEGIADO,['DPE DIREITO PENAL'],,,,,,TRÁFICO DE DROGAS PRIVILEGIADO,traf privilegi
TRAIÇÃO,['DPE DIREITO PENAL'],,,,['QUALIFICADORA DA SURPRESA'],,,tra
TRANSPORTE CLANDESTINO,"['DAD DIREITO ADMINISTRATIVO', 'DPE DIREITO PENAL']",,,TRANSPORTE,"['CONTRABANDO', 'TRANSPORTE IRREGULAR']",,,transport clandestin
TRANSPORTE IRREGULAR,"['DAD DIREITO ADMINISTRATIVO', 'DPE DIREITO PENAL']",,,TRANSPORTE,['TRANSPORTE CLANDESTINO'],,,transport irregul
GUIA DE TRATAMENTO AMBULATORIAL,['DPP DIREITO PROCESSUAL PENAL'],"

NOTA
Prevista na Resolução 514/2013 do Supremo Tribunal Federal.
",,,"['MEDIDA DE SEGURANÇA', 'PROCESSO DE EXECUÇÃO PENAL']",,,gui de trat ambulator
TRATAMENTO AMBULATORIAL,['DPE DIREITO PENAL'],,,,"['CESSAÇÃO DE PERICULOSIDADE', 'MEDIDA DE SEGURANÇA', 'PERICULOSIDADE', 'RÉU INIMPUTÁVEL', 'SEGURANÇA PROVISÓRIA']",,,trat ambulator
TRATAMENTO DEGRADANTE,['DPE DIREITO PENAL'],"

NOTA
1. Submeter alguém à privação de grau mínimo de dignidade. 2. Ninguém será submetido a tortura nem a tratamento desumano ou degradante. (Art. 5°, III, da CF/88
",,,['SISTEMA PRISIONAL BRASILEIRO'],,,trat degrad
TRATAMENTO DESUMANO,['DPE DIREITO PENAL'],"

NOTA
1. Submeter alguém a tratamento que demonstra desumanidade; de forma bárbara, cruel, atroz.
2. Ninguém será submetido a tortura nem a tratamento desumano ou degradante. (Art. 5°, III, da CF/88
",,,"['SISTEMA PRISIONAL BRASILEIRO', 'TRATAMENTO DISCRIMINATÓRIO']",,,trat desum
TRATAMENTO JURÍDICO,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,,,,,trat jurid
TRATAMENTO PSIQUIÁTRICO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL', 'DPR DIREITO PREVIDENCIÁRIO']","

NOTA
Art. 99. O Hospital de Custódia e Tratamento Psiquiátrico 
destina-se aos inimputáveis e semi-imputáveis referidos no 
artigo 26 e seu parágrafo único do Código Penal.
Parágrafo único. Aplica-se ao hospital, no que couber, o 
disposto no parágrafo único, do artigo 88, desta Lei.
Art. 100. O exame psiquiátrico e os demais exames 
necessários ao tratamento são obrigatórios para todos os 
internados.
(Lei 7.210/1984 - Lei de Execução Penal).
",,TRATAMENTO DE SAÚDE,"['AUXÍLIO-DOENÇA', 'CESSAÇÃO DE PERICULOSIDADE', 'DOENTE MENTAL', 'ESTABELECIMENTO PSIQUIÁTRICO', 'MEDIDA DE SEGURANÇA', 'PSICOPATA', 'RÉU INIMPUTÁVEL', 'SEGURANÇA PROVISÓRIA', 'SERVIÇO MÉDICO-HOSPITALAR']",,,trat psiquiatr
TRIBUNAL DE EXCEÇÃO,"['DCT DIREITO CONSTITUCIONAL', 'DIN DIREITO INTERNACIONAL', 'DPE DIREITO PENAL']","

NOTA
É o que se estabelece, ou se institui, em caráter 
especial, ou de exceção, para conhecer e julgar questões 
excepcionalmente ocorridas ou suscitadas.  
(SILVA, De Plácido e. Vocabulário Jurídico. Rio de Janeiro: Forense, 2007. 
27ª Ed.)
",,TRIBUNAL,"['EXTRADIÇÃO', 'EXTRADITANDO', 'JUÍZO DE EXCEÇÃO']",,,tribun de excec
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS (TNUJEFS),"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']","

NOTA
Órgão do Poder Judiciário, presidida pelo Ministro Corregedor-Geral da Justiça Federal e composta por 10 Juízes Federais, responsável pela uniformização da jurisprudência no âmbito dos Juizados Especiais Federais (JEFs). (Art. 1° do Regimento Interno da TNUJEFs - Resolução n. 22/08, do Conselho da Justiça Federal
",,,"['JUIZADO ESPECIAL FEDERAL', 'TURMA RECURSAL']",TNUJEFS,,turm nacion de uniform do juiz espec feder (tnujefs)
ANTECIPAÇÃO DA TUTELA,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,TUTELA ANTECIPADA,antecip da tutel
ANTECIPAÇÃO DE TUTELA,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,EFEITO SUSPENSIVO ATIVO,antecip de tutel
CONSELHO TUTELAR,['ECA ESTATUTO DA CRIANÇA E DO ADOLESCENTE'],"

NOTA
Órgão permanete, autônomo e não jurisdicional, presente nos municípios, encarregado pelo cumprimento das normas relativas aos direitos da criança e do adolescente.
",,,"['CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE', 'LEI DE DIRETRIZES E BASES DA EDUCAÇÃO NACIONAL (LDB)', 'MENOR']",,,conselh tutel
PRETENSÃO À TUTELA JURÍDICA,"['DCT DIREITO CONSTITUCIONAL', 'DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
""Daí afirmar-se, corretamente, que a pretensão à tutela jurídica, que corresponde exatamente à garantia consagrada no art. 5º, LV, da Constituição, contém os seguintes direitos: a) direito de informação (...); b) direito de manifestação (...); c) direito de ver seus argumentos considerados (...)""
(MS 22.693, Rel. Min. Gilmar Mendes, DJe de 13.12.2010.
",,,"['CONTRADITÓRIO', 'DIREITO DE MANIFESTAÇÃO', 'DIREITO DE VER SEUS ARGUMENTOS CONSIDERADOS', 'PRINCÍPIO DO CONTRADITÓRIO']",,,pretens a tutel jurid
PRINCÍPIO DA AUTOTUTELA,['DCT DIREITO CONSTITUCIONAL'],,,PRINCÍPIO CONSTITUCIONAL,,,,principi da autotutel
SUSPENSÃO DE TUTELA ANTECIPADA,['DPC DIREITO PROCESSUAL CIVIL'],,,,['TUTELA ANTECIPADA'],,,suspens de tutel antecip
TUTELA,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,,"['BEM JURÍDICO', 'CRIME CONTRA O PÁTRIO PODER, TUTELA E CURATELA', 'GUARDA DE MENOR', 'GUARDA JUDICIAL', 'TUTELA ANTECIPADA', 'TUTELA DO MENOR', 'TUTELA ESPECÍFICA', 'TUTELADO', 'TUTOR']",,,tutel
TUTELA ANTECIPADA,['DPC DIREITO PROCESSUAL CIVIL'],,TUTELA ANTECIPADA CONTRA A FAZENDA PÚBLICA,,"['FAZENDA PÚBLICA', 'MÉRITO', 'PODER GERAL DE CAUTELA', 'RECURSO EXTRAORDINÁRIO RETIDO', 'SENTENÇA', 'SUSPENSÃO DE TUTELA ANTECIPADA', 'TUTELA', 'TUTELA ESPECÍFICA', 'TUTELA PROVISÓRIA ANTECIPADA', 'VEROSSIMILHANÇA DA ALEGAÇÃO']",ANTECIPAÇÃO DA TUTELA,,tutel antecip
TUTELA ANTECIPADA ANTECEDENTE,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 303 do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA ANTECIPADA,,,,tutel antecip anteced
TUTELA ANTECIPADA CONTRA A FAZENDA PÚBLICA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Ver Lei 9.494/1997.
",,TUTELA ANTECIPADA,,,,tutel antecip contr a fazend public
TUTELA ANTECIPADA INCIDENTAL,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294, parágrafo único, do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA ANTECIPADA,,,,tutel antecip incident
TUTELA CAUTELAR,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294, parágrafo único, do novo CPC (Lei 13.105/2015).
",TUTELA CAUTELAR ANTECEDENTE,TUTELA PROVISÓRIA,,TUTELA PROVISÓRIA CAUTELAR,,tutel cautel
TUTELA CAUTELAR ANTECEDENTE,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 305 do novo CPC (Lei 13.105/2015).
",,TUTELA CAUTELAR,,,,tutel cautel anteced
TUTELA CAUTELAR INCIDENTAL,['DPC DIREITO PROCESSUAL CIVIL'],,,TUTELA CAUTELAR,,,,tutel cautel incident
TUTELA DA EVIDÊNCIA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 311 do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA,,TUTELA PROVISÓRIA DE EVIDÊNCIA,,tutel da evid
TUTELA DA NÃO SURPRESA,['DTR DIREITO TRIBUTÁRIO'],,,,,,PRINCÍPIO DA NÃO SURPRESA,tutel da nao surpr
TUTELA DE URGÊNCIA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 300 do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA,,TUTELA PROVISÓRIA DE URGÊNCIA,,tutel de urg
TUTELA ESPECÍFICA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Usar conforme previsto no Código de Processo Civil, art. 461.
",,,"['TUTELA', 'TUTELA ANTECIPADA']",,,tutel especif
TUTELA PROVISÓRIA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294 do novo CPC (Lei 13.105/2015).
",TUTELA CAUTELAR,,"['CARÁTER ANTECEDENTE', 'CARÁTER INCIDENTAL']",,,tutel provisor
TUTELA PROVISÓRIA ANTECEDENTE,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294, parágrafo único, do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA,,,,tutel provisor anteced
TUTELA PROVISÓRIA ANTECIPADA,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294, parágrafo único, do novo CPC (Lei 13.105/2015).
",TUTELA ANTECIPADA ANTECEDENTE,TUTELA PROVISÓRIA,['TUTELA ANTECIPADA'],,,tutel provisor antecip
TUTELA PROVISÓRIA CAUTELAR,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,TUTELA CAUTELAR,tutel provisor cautel
TUTELA PROVISÓRIA DE EVIDÊNCIA,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,TUTELA DA EVIDÊNCIA,tutel provisor de evid
TUTELA PROVISÓRIA DE URGÊNCIA,['DPC DIREITO PROCESSUAL CIVIL'],,,,,,TUTELA DE URGÊNCIA,tutel provisor de urg
TUTELA PROVISÓRIA INCIDENTAL,['DPC DIREITO PROCESSUAL CIVIL'],"

NOTA
Artigo 294, parágrafo único, do novo CPC (Lei 13.105/2015).
",,TUTELA PROVISÓRIA,,,,tutel provisor incident
TUTELADO,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,,"['GUARDA DE MENOR', 'TUTELA', 'TUTELA DO MENOR']",,,tutel
ULTRAJE PÚBLICO AO PUDOR,['DPE DIREITO PENAL'],,ATO OBSCENO,CRIME CONTRA A DIGNIDADE SEXUAL,,,,ultraj public ao pud
ABUSO,['MOD MODIFICADORES'],,,,,ABUSIVIDADE,,abus
ABUSO DE DIREITO,['DIC DIREITO CIVIL'],,,ATO ILÍCITO,,,,abus de direit
ABUSO DO PODER ECONÔMICO,"['DEL DIREITO ELEITORAL', 'DPE DIREITO PENAL']",,,,,,ABUSO DE PODER ECONÔMICO,abus do pod econom
ÁREA DE USO COMUM,['DIC DIREITO CIVIL'],,,ÁREA,"['CONDOMÍNIO', 'DESAPROPRIAÇÃO JUDICIAL']",,,are de uso comum
BEM DE USO COMUM DO POVO,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Art. 99. São bens públicos: 
I - os de uso comum do povo, tais como rios, mares, estradas, ruas e 
praças.
(Lei 10.406/2002 - Código Civil).
",,BEM PÚBLICO,"['BEM DE USO ESPECIAL', 'MAR TERRITORIAL']",,,bem de uso comum do pov
BEM DE USO ESPECIAL,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Art. 99. São bens públicos: (...)
II - os de uso especial, tais como edifícios ou terrenos destinados a 
serviço ou estabelecimento da administração federal, estadual, territorial 
ou municipal, inclusive os de suas autarquias.
(Lei 10.406/2002 - Código Civil).
",,BEM PÚBLICO,['BEM DE USO COMUM DO POVO'],,,bem de uso espec
BEM DESTINADO AO USO,['DIC DIREITO CIVIL'],,,,,,BEM DE CONSUMO,bem destin ao uso
CESSÃO DE USO,"['DAD DIREITO ADMINISTRATIVO', 'DIC DIREITO CIVIL']",,,CESSÃO,,,,cess de uso
CONCESSÃO DE DIREITO REAL DE USO,['DAD DIREITO ADMINISTRATIVO'],,,CONTRATO ADMINISTRATIVO,"['BEM PÚBLICO', 'CESSÃO', 'DOMÍNIO PÚBLICO']",CONCESSÃO DE USO,,concess de direit real de uso
CONCESSÃO DE DIREITO REAL DE USO RESOLÚVEL,['DIC DIREITO CIVIL'],,,,['CESSÃO'],,,concess de direit real de uso resolu
CONCESSÃO DE USO,['DAD DIREITO ADMINISTRATIVO'],,,,,,CONCESSÃO DE DIREITO REAL DE USO,concess de uso
CONTROLE DIFUSO,['DCT DIREITO CONSTITUCIONAL'],,,CONTROLE DE CONSTITUCIONALIDADE,"['AÇÃO CIVIL PÚBLICA', 'CONSTITUCIONALIDADE', 'CONTROLE CONCENTRADO', 'DECLARAÇÃO DE INCONSTITUCIONALIDADE', 'INCIDENTER TANTUM', 'RESERVA DE PLENÁRIO', 'SOBRESTAMENTO DO PROCESSO', 'TEORIA DOS MOTIVOS DETERMINANTES']",,,control difus
DIREITO DIFUSO,['DCS DIREITO DO CONSUMIDOR'],"

NOTA
Ver artigo 81, I, da Lei 8.078/1990.
",,,['INTERESSE DIFUSO'],,,direit difus
INTERESSE DIFUSO,"['DCS DIREITO DO CONSUMIDOR', 'DTB DIREITO TRABALHISTA']","

NOTA
Para os fins do CDC, é o interesse transindividual, de natureza indivisível, de que sejam titulares pessoas indeterminadas e ligadas por circunstância de fato. (artigo 81, I, da Lei 8.078/1990)
",,INTERESSE TRANSINDIVIDUAL,"['DIREITO DIFUSO', 'INTERESSE COLETIVO', 'INTERESSE INDIVIDUAL HOMOGÊNEO', 'REPRESENTATIVIDADE ADEQUADA', 'SUBSTITUIÇÃO PROCESSUAL']",,,inter difus
INTERVALO PARA REPOUSO OU ALIMENTAÇÃO,['DTB DIREITO TRABALHISTA'],,,,"['DIREITO DO TRABALHADOR', 'JORNADA DE TRABALHO', 'OITO HORAS DIÁRIAS', 'QUATRO HORAS DIÁRIAS', 'SEIS HORAS DIÁRIAS']",INTERVALO INTRAJORNADA,,interval par repous ou aliment
MIN. CEZAR PELUSO,,,,,,,,min. cez pelus
OBJETO DE USO DOMÉSTICO,['NOC NOMES COMUNS'],,,OBJETO,,,,objet de uso domest
OBJETO DE USO PESSOAL,['NOC NOMES COMUNS'],,,OBJETO,,,,objet de uso pessoal
PERMISSÃO DE USO,['DAD DIREITO ADMINISTRATIVO'],,,,"['EMPRESA PERMISSIONÁRIA DE SERVIÇO PÚBLICO', 'PERMISSIONÁRIO']",,,permiss de uso
PROCESSO DE CONTROLE DIFUSO,['DCT DIREITO CONSTITUCIONAL'],,,,,,,process de control difus
REPOUSO,['DTB DIREITO TRABALHISTA'],,REPOUSO REMUNERADO,,,,,repous
REPOUSO REMUNERADO,['DTB DIREITO TRABALHISTA'],,,REPOUSO,"['FINAL DE SEMANA', 'REPOUSO SEMANAL', 'REPOUSO SEMANAL REMUNERADO']",,,repous remuner
REPOUSO SEMANAL,['DTB DIREITO TRABALHISTA'],,,REPOUSO,"['FINAL DE SEMANA', 'REPOUSO REMUNERADO', 'REPOUSO SEMANAL REMUNERADO']",,,repous seman
REPOUSO SEMANAL REMUNERADO,['DTB DIREITO TRABALHISTA'],,,REPOUSO,"['REPOUSO REMUNERADO', 'REPOUSO SEMANAL']",DESCANSO SEMANAL REMUNERADO,,repous seman remuner
TARIFA DE USO DO SISTEMA ELÉTRICO DE DISTRIBUIÇÃO,['DTR DIREITO TRIBUTÁRIO'],,,,,,TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE DISTRIBUIÇÃO (TUSD),tarif de uso do sistem eletr de distribu
TARIFA DE USO DO SISTEMA ELÉTRICO DE TRANSMISSÃO,['DTR DIREITO TRIBUTÁRIO'],,,,,,TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE TRANSMISSÃO (TUST),tarif de uso do sistem eletr de transmiss
TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE DISTRIBUIÇÃO,['DTR DIREITO TRIBUTÁRIO'],,,,,,TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE DISTRIBUIÇÃO (TUSD),tarif de uso do sistem eletr de distribu
TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE DISTRIBUIÇÃO (TUSD),['DTR DIREITO TRIBUTÁRIO'],"

NOTA
Encargo legal do setor elétrico que incide sobre os consumidores conectados aos sistemas elétricos das concessionárias de distribuição de energia elétrica.
",,TARIFA,['MATÉRIA INFRACONSTITUCIONAL'],TARIFA DE USO DO SISTEMA ELÉTRICO DE DISTRIBUIÇÃO,,tarif de uso do sistem eletr de distribu (tusd)
TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE TRANSMISSÃO,['DTR DIREITO TRIBUTÁRIO'],,,,,,TARIFA DE USO DOS SISTEMAS ELÉTRICOS DE TRANSMISSÃO (TUST),tarif de uso do sistem eletr de transmiss
